CO_IES,CO_CURSO,NO_CURSO,CO_CINE_ROTULO,TP_MODALIDADE_ENSINO,IN_AJUDA_DEFICIENTE,IN_QTD_RECURSOS,QT_MATRICULA_TOTAL,QT_CONCLUINTE_TOTAL
1,1,DIREITO,0421D01,Presencial,1,1.0,447,75
1,2,CIÊNCIAS ECONÔMICAS,0311E01,Presencial,0,0.0,323,28
1,3,ENGENHARIA CIVIL,0732E01,Presencial,0,0.0,248,45
1,6,PEDAGOGIA,0113P01,Presencial,1,9.0,331,53
1,7,SERVIÇO SOCIAL,0923S01,Presencial,1,1.0,274,32
1,8,CIÊNCIAS CONTÁBEIS,0411C01,Presencial,0,0.0,296,33
1,9,AGRONOMIA,0811A04,Presencial,0,0.0,382,41
1,10,ENGENHARIA FLORESTAL,0821E01,Presencial,0,0.0,363,35
1,12,MEDICINA,0912M01,Presencial,1,8.0,490,66
1,13,ADMINISTRAÇÃO,0413A01,Presencial,1,4.0,443,71
1,15,GEOLOGIA,0532G02,Presencial,0,0.0,162,18
1,16,ENGENHARIA ELÉTRICA,0713E05,Presencial,1,1.0,354,29
1,17,ENFERMAGEM,0913E01,Presencial,1,1.0,253,43
1,19,EDUCAÇÃO FÍSICA,0114E03,Presencial,1,1.0,161,18
1,20,NUTRIÇÃO,0915N01,Presencial,0,0.0,279,41
1,21,CIÊNCIAS CONTÁBEIS,0411C01,Presencial,1,1.0,325,23
1,23,PEDAGOGIA,0113P01,Presencial,1,1.0,167,30
1,24,GEOGRAFIA,0114G01,Presencial,1,1.0,123,16
1,25,HISTÓRIA,0114H01,Presencial,1,1.0,101,20
1,26,MATEMÁTICA,0114M01,Presencial,0,0.0,171,13
1,27,FÍSICA,0114F02,Presencial,0,0.0,217,8
1,29,CIÊNCIAS BIOLÓGICAS,0114B01,Presencial,0,0.0,156,23
1,32,CIÊNCIAS BIOLÓGICAS,0114B01,Presencial,1,1.0,127,13
1,34,MATEMÁTICA,0114M01,Presencial,0,0.0,128,10
1,36,CIÊNCIA DA COMPUTAÇÃO,0614C01,Presencial,0,0.0,193,21
1,37,MEDICINA VETERINÁRIA,0841M01,Presencial,1,1.0,311,43
1,44,ARQUITETURA E URBANISMO,0731A02,Presencial,0,0.0,281,34
1,18354,MATEMÁTICA,0114M01,Presencial,0,0.0,70,5
1,21442,FARMÁCIA,0916F01,Presencial,1,2.0,150,17
1,22118,LETRAS PORTUGUÊS E INGLÊS,0115L15,Presencial,1,1.0,80,9
1,22837,LETRAS - LÍNGUA PORTUGUESA,0115L13,Presencial,1,2.0,109,20
1,25902,LETRAS PORTUGUÊS E FRANCÊS,0115L14,Presencial,1,2.0,58,5
1,25903,LETRAS - PORTUGUÊS E LITERATURAS,0115L13,Presencial,1,1.0,78,12
1,25949,LETRAS - LÍNGUA PORTUGUESA,0115L13,Presencial,1,4.0,151,34
1,26025,LETRAS PORTUGUÊS E ESPANHOL E RESPECTIVAS LITERATURAS,0115L12,Presencial,0,0.0,72,9
1,31373,COMUNICAÇÃO SOCIAL  - RADIALISMO,0321R01,Presencial,1,1.0,57,13
1,41673,BIBLIOTECONOMIA,0322B01,Presencial,1,12.0,101,2
1,41687,INFORMÁTICA,0114C05,Presencial,1,1.0,0,0
1,41690,CIÊNCIAS BIOLÓGICAS,0114B01,Presencial,1,1.0,116,9
1,62906,ZOOTECNIA,0811Z01,Presencial,1,5.0,262,22
1,62936,JORNALISMO,0321J01,Presencial,1,1.0,130,13
1,62940,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,0414P01,Presencial,1,1.0,153,14
1,84854,PSICOLOGIA,0313P01,Presencial,0,0.0,173,35
1,94331,MÚSICA,0114M02,Presencial,1,2.0,79,11
1,100763,MEDICINA VETERINÁRIA,0841M01,Presencial,1,4.0,452,73
1,100768,ENGENHARIA FLORESTAL,0821E01,Presencial,0,0.0,182,14
1,100770,ENFERMAGEM,0913E01,Presencial,1,3.0,135,15
1,100772,ZOOTECNIA,0811Z01,Presencial,1,1.0,311,25
1,100775,CIÊNCIAS NATURAIS E MATEMÁTICA - MATEMÁTICA,0114M01,Presencial,1,3.0,48,5
1,100776,CIÊNCIAS NATURAIS E MATEMÁTICA - QUÍMICA,0114Q01,Presencial,1,3.0,59,3
1,100777,CIÊNCIAS NATURAIS E MATEMÁTICA - FÍSICA,0114F02,Presencial,1,5.0,39,10
1,100778,AGRONOMIA,0811A04,Presencial,1,1.0,453,52
1,100800,ENGENHARIA AGRÍCOLA E AMBIENTAL,0811E01,Presencial,1,1.0,332,32
1,100802,ENGENHARIA MECÂNICA,0715E02,Presencial,1,1.0,388,33
1,100804,ENFERMAGEM,0913E01,Presencial,1,1.0,130,18
