CO_IES,NO_IES,SG_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,REGIAO
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,Universidade,Centro-Oeste
2,UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,Universidade,Centro-Oeste
3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pública Federal,Universidade,Nordeste
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,Universidade,Norte
6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Pública Federal,Universidade,Sudeste
10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Privada sem fins lucrativos,Universidade,Sul
11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Privada sem fins lucrativos,Universidade,Nordeste
13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Privada sem fins lucrativos,Universidade,Sul
14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Privada sem fins lucrativos,Universidade,Sul
18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Privada sem fins lucrativos,Universidade,Sul
19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Privada sem fins lucrativos,Universidade,Sudeste
20,UNIVERSIDADE DE PASSO FUNDO,UPF,Privada sem fins lucrativos,Universidade,Sul
21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Privada sem fins lucrativos,Universidade,Sul
19229,FACULDADE PRESBITERIANA MACKENZIE BRASILIA,FPMB,Privada sem fins lucrativos,Faculdade,Centro-Oeste
353,FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ,FEMPAR,Privada sem fins lucrativos,Faculdade,Sul
22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Privada sem fins lucrativos,Universidade,Sudeste
195,FACULDADE PRESBITERIANA MACKENZIE RIO,FPMR,Privada sem fins lucrativos,Faculdade,Sudeste
23,UNIVERSIDADE FEEVALE,FEEVALE,Privada sem fins lucrativos,Universidade,Sul
24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Pública Estadual,Universidade,Nordeste
26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ENCE,Pública Federal,Faculdade,Sudeste
27,UNIVERSIDADE VALE DO RIO VERDE,UNINCOR,Privada sem fins lucrativos,Universidade,Sudeste
29,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Pública Estadual,Universidade,Nordeste
30,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Privada sem fins lucrativos,Universidade,Sudeste
32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Pública Estadual,Universidade,Nordeste
